Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1182,Ganoderma,neojaponicum,13102,D1,11,10/8/2021,10,10/22/2021,Gn 13102 P11 10-8-21
1184,Ganoderma,oregonense,Depoe Bay,D1,3,10/8/2021,10,10/22/2021,Go Depoe Bay P3 10-8-21
1194,Ganoderma,polychromum,Olympia,D1,2,10/8/2021,10,10/22/2021,G. sp. Olympia P2 10-8-21
1168,Ganoderma,applanatum,I- Mason County Staircase,C8,3,10/8/2021,10,10/25/2021,Ga I Mason… P3 10-8-21
1187,Ganoderma,oregonense,III-Elwha,C8,2,10/12/2021,10,10/25/2021,Go III Elwha P2 10-12-21
1185,Ganoderma,oregonense,Evergreen,C8,2,10/12/2021,10,10/25/2021,G. sp. Evergreen P2 10-21-21
1166,Polyporus,annulatus,I,C8,3,10/12/2021,10,10/26/2021,Ga I P3 10-12-21
1172,Ganoderma,applanatum,U. of Virginia,C8,3,10/12/2021,10,10/26/2021,Ga U of V P3 10-12-21
1189,Ganoderma,oregonense,Marys Pt Cortes Island,C8,2,10/12/2021,10,10/26/2021,Go Mary's Pt. P2 10-12-21
1191,Ganoderma,oregonense,Skok,C8,2,10/12/2021,10,11/1/2021,Go Skok P2 10-12-21
1170,Ganoderma,applanatum,III-Garfield,C8,4,10/21/2021,10,11/1/2021,Ga III Garfield P4 10-21-21
