Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1047,Ophiocordyceps,sinensis,franklin #8227,E3,2,10/22/2020,11/4/2020,11/5/2020,2,6,6
1005,Agaricus,bitorquis,Q III,E2,3,10/29/2020,12/1/2020,12/2/2020,2,6,6
1326,Chlorophyllum,rhacodes,II-Kamilche,E1,19,10/29/2020,1/11/2021,1/12/2021,2,6,6
1002,Agaricus,bisporus,II SA,E2,8,11/6/2020,12/1/2020,12/2/2020,2,6,6
1015,Agaricus,lilaceps,I,E2,19,11/6/2020,12/10/2020,12/11/2020,2,6,6
1019,Agrocybe,praecox,Casino-Freeway,E2,2,11/6/2020,12/1/2020,12/2/2020,2,6,6
1020,Agrocybe,sp,Tatoosh,E2,4,11/6/2020,12/16/2020,12/17/2020,2,6,6
1021,Armillaria,mellea,Colo,E2,2,11/6/2020,12/10/2020,12/11/2020,2,6,6
1033,Calvatia,cyathiformis,I,E1,2,11/12/2020,1/4/2021,1/5/2021,2,6,6
1031,Calocybe,indica,Aloha,E2,3,11/12/2020,11/30/2020,12/1/2020,2,6,6
1036,Coprinus,comatus,FB-2,E2,2,11/12/2020,12/1/2020,12/2/2020,2,6,6
1038,Coprinus,comatus,I,E3,17,11/12/2020,11/25/2020,11/26/2020,2,6,6
1035,Coprinus,comatus,Eastside,E3,2,11/12/2020,11/25/2020,11/26/2020,2,6,6
1037,Coprinus,comatus,Georgia Pacific,E3,2,11/12/2020,11/30/2020,12/1/2020,2,6,6
1000,Agaricus,augustus,I,E1,13,12/1/2020,12/21/2020,12/22/2020,2,6,6
1018,Cyclocybe,parasitica,Aloha,E1,4,12/1/2020,12/17/2020,12/18/2020,2,6,6
1041,Tolypocladium,capitatum,Cortes,E1,12,12/2/2020,1/11/2021,1/12/2021,2,6,6
1055,Fistulina,hepatica,I,E1,2,12/2/2020,1/4/2021,1/5/2021,2,6,6
1057,Flammulina,filiformis,I,E2,9,12/2/2020,12/17/2020,12/18/2020,2,6,6
1059,Flammulina,populicola,TELL-II,E2,2,12/2/2020,12/16/2020,12/17/2020,2,6,6
1068,Fomes,fomentarius,U of Virginia,E1,4,12/2/2020,12/22/2020,12/23/2020,2,6,6
1066,Fomes,fomentarius,Mass,E1,2,12/2/2020,12/21/2020,12/22/2020,2,6,6
1063,Fomes,eberhartii,I,E1,2,12/2/2020,12/22/2020,12/23/2020,2,6,6
1069,Fomes,fomentarius,Vancouver,E1,3,3/24/2021,4/12/2021,4/13/2021,2,6,6
1067,Fomes,fomentarius,Norway,D8,2,3/24/2021,4/12/2021,4/13/2021,2,6,6
1176,Ganoderma,lucidum,62451,D8,8,4/6/2021,4/23/2021,4/26/2021,2,6,6
1293,Lentinula,edodes,CS master,D8,4,4/6/2021,4/26/2021,4/28/2021,2,6,6
1034,Clitocybe,odora,I,D7,1,4/6/2021,5/12/2021,5/14/2021,2,6,6
1401,Pleurotus,ostreatus,PWOST,D8,8,4/9/2021,4/23/2021,4/26/2021,2,6,6
1198,Grifola,frondosa,158772,D8,4,4/9/2021,4/30/2021,5/3/2021,2,6,6
1365,Fomitopsis,betulina,NY St. Regis,D8,2,4/9/2021,4/30/2021,5/3/2021,2,6,6
1174,Ganoderma,lucidum,7400,D8,15,4/12/2021,4/26/2021,4/28/2021,2,6,6
1348,Tropicoporus,linteus,I,D7,2,4/12/2021,5/4/2021,5/12/2021,2,6,6
1190,Ganoderma,oregonense,II - Meadow Lake,D7,11,4/12/2021,5/4/2021,5/12/2021,2,6,6
1224,Hericium,erinaceus,II,D7,4,4/12/2021,5/6/2021,5/12/2021,2,6,6
1169,Ganoderma,applanatum,II - Duckabush,D8,3,4/16/2021,5/3/2021,5/6/2021,2,6,6
1065,Fomes,fomentarius,I,D8,5,4/16/2021,5/3/2021,5/6/2021,2,6,6
1268,Inonotus,obliquus,I,D7,14,4/16/2021,5/6/2021,5/12/2021,2,6,6
1290,Lentinula,edodes,705 Solstice,D7,15,5/14/2021,6/1/2021,6/3/2021,2,6,6
1417,Metacordyceps,chlamydosporia,123,D6,1,5/14/2021,6/8/2021,6/10/2021,2,6,6
1435,Schizophyllum,commune,I,D7,5,5/14/2021,6/1/2021,6/3/2021,2,6,6
1435,Schizophyllum,commune,I,D7,5,5/14/2021,6/1/2021,6/10/2021,1,4,4
1417,Metacordyceps,chlamydosporia,123,D6,1,5/14/2021,6/8/2021,3/16/2022,1,6,6
1435,Schizophyllum,commune,I,D7,5,5/14/2021,6/1/2021,6/29/2022,1,4,4
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,D6,2,5/17/2021,6/8/2021,6/10/2021,2,6,6
